WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8080
 * Running on http://192.168.219.110:8080
Press CTRL+C to quit
192.168.137.50 - - [29/Jun/2026 04:36:55] "GET /packages/rear_app_slot_confirm_candidate.bin HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:24] "GET /api/vehicle/health HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:24] "GET /api/vehicle/runtime/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:38] "OPTIONS /api/vehicle/runtime/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:38] "OPTIONS /api/vehicle/runtime/features HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:38] "OPTIONS /api/ota/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:38] "GET /api/ota/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:38] "GET /api/vehicle/runtime/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:38] "GET /api/vehicle/runtime/features HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:38] "GET /api/vehicle/runtime/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:39] "GET /api/vehicle/runtime/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:39] "GET /api/vehicle/runtime/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:39] "GET /api/vehicle/runtime/features HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:40] "GET /api/ota/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:40] "GET /api/vehicle/runtime/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:41] "GET /api/vehicle/runtime/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:41] "GET /api/vehicle/runtime/features HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:41] "GET /api/vehicle/runtime/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:42] "GET /api/ota/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:42] "GET /api/vehicle/runtime/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:43] "OPTIONS /api/vehicle/runtime/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:43] "OPTIONS /api/vehicle/runtime/features HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:43] "GET /api/vehicle/runtime/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:43] "GET /api/vehicle/runtime/features HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:44] "OPTIONS /api/ota/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:44] "GET /api/ota/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:44] "GET /api/vehicle/runtime/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:44] "GET /api/vehicle/runtime/features HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:45] "GET /api/vehicle/runtime/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:46] "GET /api/ota/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:46] "GET /api/vehicle/runtime/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:46] "GET /api/vehicle/runtime/features HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:47] "GET /api/vehicle/runtime/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:47] "GET /api/vehicle/runtime/features HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:48] "GET /api/ota/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:48] "GET /api/vehicle/runtime/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:49] "OPTIONS /api/vehicle/runtime/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:49] "OPTIONS /api/vehicle/runtime/features HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:49] "GET /api/vehicle/runtime/features HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:49] "GET /api/vehicle/runtime/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:49] "GET /api/vehicle/runtime/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:50] "OPTIONS /api/ota/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:50] "GET /api/ota/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:50] "GET /api/vehicle/runtime/features HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:50] "GET /api/vehicle/runtime/status HTTP/1.1" 200 -
127.0.0.1 - - [29/Jun/2026 04:37:50] "GET /api/vehicle/runtime/status HTTP/1.1" 200 -
